City,State,change
Greeley,Colorado,+17.12%
Sparks,Nevada,+20.14%
Centennial,Colorado,+8.01%
Boulder,Colorado,+11.16%
Sandy Springs,Georgia,+15.16%
Inglewood,California,−1.74%
Edison,New Jersey,+7.62%
South Fulton,Georgia,
Green Bay,Wisconsin,+3.21%
Burbank,California,+3.87%
Renton,Washington,+17.44%
Hillsboro,Oregon,+16.19%
El Cajon,California,+6.77%
Tyler,Texas,+9.39%
Davie,Florida,+14.89%
San Mateo,California,+8.70%
Brockton,Massachusetts,+12.61%
Concord,North Carolina,+33.10%
Jurupa Valley,California,+11.48%
Daly City,California,+3.74%
Allen,Texas,+24.19%
Rio Rancho,New Mexico,+18.88%
Rialto,California,+4.90%
Woodbridge,New Jersey,+4.07%
South Bend,Indiana,+2.26%
Spokane Valley,Washington,+14.73%
Norwalk,California,−2.63%
Menifee,California,+32.26%
Vacaville,California,+10.77%
Wichita Falls,Texas,−2.14%
Davenport,Iowa,+2.05%
Quincy,Massachusetts,+10.15%
Chico,California,+17.74%
Lynn,Massachusetts,+12.09%
Lee's Summit,Missouri,+10.67%
New Bedford,Massachusetts,+6.32%
Federal Way,Washington,+13.13%
Clinton,Michigan,+3.84%
Edinburg,Texas,+30.02%
Nampa,Idaho,+22.86%
Roanoke,Virginia,+3.07%
